message,label
WIN a brand new car now!!!,spam
Congratulations you have won $1000,spam
Call me when you arrive,not_spam
Let's have lunch tomorrow,not_spam
Free entry in a contest win cash now,spam
Are you coming to the meeting?,not_spam
You have been selected for a prize claim now,spam
Please review the document I sent,not_spam
URGENT! Your account has won a reward,spam
See you at the office later,not_spam
Get free tickets by clicking this link,spam
Can we reschedule our appointment?,not_spam
Limited offer buy now and save money,spam
Your package has been delivered,not_spam
Win money instantly by joining today,spam
Are we still on for tonight?,not_spam
Claim your free vacation today,spam
Please send the report by evening,not_spam
Exclusive deal just for you buy now,spam
Meeting postponed to next week,not_spam
Free iPhone when you sign up now,spam
Important: update your bank details,spam
Your subscription has been activated,not_spam
Let us know your availability for meeting,not_spam
Winner! claim your gift card instantly,spam
Can you review this code snippet?,not_spam
Limited time: free trial expires today,spam
Lunch at noon works for me,not_spam
"Congrats, you just won a free trip",spam
Please sign the document and return,not_spam
Act now to secure your discount,spam
Check the attached invoice,not_spam
Receive $500 cashback by joining,spam
Are we meeting at 3pm?,not_spam
Click here for your surprise prize,spam
Please call me about the project,not_spam
Congratulations! You won a phone,spam
Here are the minutes from yesterday,not_spam
Exclusive access to premium content,spam
"Thanks for the update, looks good",not_spam
Free vouchers available for a short time,spam
Can I get your opinion on this?,not_spam
Your account is selected for gift,spam
Please find the agenda attached,not_spam
Instant approval for low interest loan,spam
